               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.056339,            0.010332,            0.009409,             0.85112,               0.975,              0.9631,             0.60338,            0.050067,           0.0047098,           0.0046914,           0.0081388,           0.0081388,           0.0081388
                  96,            0.052029,            0.010467,            0.011925,             0.67096,                   1,             0.87081,             0.47654,            0.048062,           0.0048568,            0.004645,            0.008119,            0.008119,            0.008119
                  97,            0.054331,           0.0090893,            0.010638,             0.67096,                   1,             0.87081,             0.47654,            0.048062,           0.0048568,            0.004645,           0.0080992,           0.0080992,           0.0080992
                  98,            0.054058,            0.010204,            0.010597,             0.65793,                   1,             0.87218,             0.51093,            0.046311,            0.004808,           0.0047589,           0.0080794,           0.0080794,           0.0080794
                  99,            0.050431,            0.011713,            0.010886,             0.88362,                   1,              0.9819,             0.67164,            0.048443,           0.0047394,           0.0044665,           0.0080596,           0.0080596,           0.0080596
                 100,            0.051525,           0.0096604,           0.0089151,             0.88362,                   1,              0.9819,             0.67164,            0.048443,           0.0047394,           0.0044665,           0.0080398,           0.0080398,           0.0080398
                 101,            0.047629,           0.0086785,           0.0089581,             0.90497,                   1,             0.98898,             0.85112,            0.037492,           0.0044471,            0.004327,             0.00802,             0.00802,             0.00802
                 102,             0.04738,            0.010975,           0.0093021,             0.75056,                   1,             0.99035,             0.56017,            0.056343,            0.004982,           0.0041504,           0.0080002,           0.0080002,           0.0080002
                 103,            0.061391,           0.0093722,             0.01215,             0.75056,                   1,             0.99035,             0.56017,            0.056343,            0.004982,           0.0041504,           0.0079804,           0.0079804,           0.0079804
                 104,            0.053369,           0.0087143,            0.007552,             0.96404,                   1,             0.99262,             0.66027,            0.048411,            0.004732,           0.0040534,           0.0079606,           0.0079606,           0.0079606
                 105,            0.048229,           0.0088909,            0.011966,             0.68215,                0.95,             0.89906,             0.62869,            0.056202,           0.0049221,           0.0040657,           0.0079408,           0.0079408,           0.0079408
                 106,            0.057443,             0.00837,            0.009388,             0.68215,                0.95,             0.89906,             0.62869,            0.056202,           0.0049221,           0.0040657,            0.007921,            0.007921,            0.007921
                 107,            0.052528,           0.0093473,            0.007962,             0.86095,                   1,               0.995,             0.62695,            0.047782,           0.0045996,           0.0042202,           0.0079012,           0.0079012,           0.0079012
                 108,            0.048104,           0.0086776,            0.012151,             0.98593,                   1,               0.995,              0.5558,            0.043554,           0.0045084,           0.0042054,           0.0078814,           0.0078814,           0.0078814
                 109,            0.049394,              0.0102,           0.0090641,             0.98593,                   1,               0.995,              0.5558,            0.043554,           0.0045084,           0.0042054,           0.0078616,           0.0078616,           0.0078616
                 110,            0.043261,            0.010254,            0.008717,              0.9675,                   1,               0.995,             0.79321,            0.036198,           0.0043365,            0.004278,           0.0078418,           0.0078418,           0.0078418
                 111,            0.042487,           0.0097524,           0.0099747,             0.90333,                   1,             0.99049,             0.50225,             0.04977,           0.0047146,           0.0039756,            0.007822,            0.007822,            0.007822
                 112,            0.052833,           0.0098786,           0.0086809,             0.90333,                   1,             0.99049,             0.50225,             0.04977,           0.0047146,           0.0039756,           0.0078022,           0.0078022,           0.0078022
                 113,            0.048277,           0.0081105,           0.0074019,             0.98307,                   1,               0.995,             0.64857,            0.045167,           0.0045192,           0.0039797,           0.0077824,           0.0077824,           0.0077824
                 114,            0.047302,           0.0088143,            0.009037,             0.58905,               0.975,             0.96326,             0.53058,            0.051332,           0.0048272,           0.0038832,           0.0077626,           0.0077626,           0.0077626
                 115,            0.055389,           0.0082399,           0.0098502,             0.58905,               0.975,             0.96326,             0.53058,            0.051332,           0.0048272,           0.0038832,           0.0077428,           0.0077428,           0.0077428
                 116,            0.048306,           0.0087029,            0.010012,             0.98412,                   1,               0.995,             0.71297,            0.040601,           0.0042881,           0.0039429,            0.007723,            0.007723,            0.007723
                 117,            0.043727,            0.010333,            0.007559,             0.84299,             0.97648,               0.995,             0.56618,            0.046953,           0.0044765,           0.0039675,           0.0077032,           0.0077032,           0.0077032
                 118,            0.053217,           0.0084141,           0.0077086,             0.84299,             0.97648,               0.995,             0.56618,            0.046953,           0.0044765,           0.0039675,           0.0076834,           0.0076834,           0.0076834
                 119,            0.049988,           0.0091832,            0.012014,             0.97979,                   1,               0.995,             0.70227,            0.041159,           0.0042901,           0.0039619,           0.0076636,           0.0076636,           0.0076636
                 120,            0.047668,           0.0096445,           0.0060793,             0.50995,                0.95,             0.81313,             0.40383,            0.050221,           0.0045927,            0.003876,           0.0076438,           0.0076438,           0.0076438
                 121,            0.056399,           0.0090464,           0.0085155,             0.50995,                0.95,             0.81313,             0.40383,            0.050221,           0.0045927,            0.003876,            0.007624,            0.007624,            0.007624
                 122,            0.051475,           0.0089217,           0.0068567,             0.71292,              0.9458,             0.93876,             0.49794,            0.046389,           0.0044873,             0.00387,           0.0076042,           0.0076042,           0.0076042
                 123,            0.046218,           0.0087418,           0.0067965,             0.92518,                   1,             0.99381,             0.65914,            0.043833,           0.0043589,           0.0038333,           0.0075844,           0.0075844,           0.0075844
                 124,             0.04586,           0.0076689,           0.0071857,             0.92518,                   1,             0.99381,             0.65914,            0.043833,           0.0043589,           0.0038333,           0.0075646,           0.0075646,           0.0075646
                 125,            0.045045,           0.0092896,           0.0094799,             0.98788,                   1,               0.995,             0.70024,            0.037674,           0.0041528,           0.0037947,           0.0075448,           0.0075448,           0.0075448
                 126,            0.041273,           0.0091525,           0.0073996,             0.98614,                   1,               0.995,             0.58945,            0.050989,           0.0044593,           0.0037525,            0.007525,            0.007525,            0.007525
                 127,            0.053401,           0.0083693,           0.0085686,             0.98614,                   1,               0.995,             0.58945,            0.050989,           0.0044593,           0.0037525,           0.0075052,           0.0075052,           0.0075052
                 128,            0.047073,           0.0074339,           0.0081751,             0.97718,                   1,               0.995,             0.73864,            0.038825,           0.0040162,           0.0037815,           0.0074854,           0.0074854,           0.0074854
                 129,            0.040321,           0.0081285,           0.0061053,             0.79064,              0.9941,               0.995,             0.77917,            0.045168,           0.0042277,           0.0037473,           0.0074656,           0.0074656,           0.0074656
                 130,            0.047293,           0.0080674,           0.0061332,             0.79064,              0.9941,               0.995,             0.77917,            0.045168,           0.0042277,           0.0037473,           0.0074458,           0.0074458,           0.0074458
                 131,            0.046205,           0.0088224,           0.0073165,             0.78785,             0.99099,               0.995,             0.81303,            0.043556,           0.0041565,           0.0037165,            0.007426,            0.007426,            0.007426
                 132,            0.047422,           0.0086459,           0.0082079,             0.80493,             0.97472,               0.995,             0.65989,            0.043777,           0.0043187,           0.0037291,           0.0074062,           0.0074062,           0.0074062
                 133,            0.047137,           0.0087311,           0.0077549,             0.80493,             0.97472,               0.995,             0.65989,            0.043777,           0.0043187,           0.0037291,           0.0073864,           0.0073864,           0.0073864
                 134,            0.044671,           0.0093702,           0.0078534,             0.98702,                   1,               0.995,             0.84383,            0.041106,           0.0040702,           0.0037359,           0.0073666,           0.0073666,           0.0073666
                 135,            0.044521,           0.0085117,           0.0082086,             0.87988,             0.98977,               0.995,             0.67857,            0.042608,           0.0041843,            0.003854,           0.0073468,           0.0073468,           0.0073468
                 136,            0.044822,           0.0083787,           0.0070829,             0.87988,             0.98977,               0.995,             0.67857,            0.042608,           0.0041843,            0.003854,            0.007327,            0.007327,            0.007327
                 137,            0.042263,            0.007956,            0.011143,             0.98298,                   1,               0.995,             0.73785,            0.036979,           0.0039218,           0.0039335,           0.0073072,           0.0073072,           0.0073072
                 138,            0.040889,           0.0095644,           0.0072398,             0.94548,                   1,               0.995,             0.52288,            0.048046,           0.0043898,           0.0039021,           0.0072874,           0.0072874,           0.0072874
                 139,            0.052998,           0.0078422,           0.0061999,             0.94548,                   1,               0.995,             0.52288,            0.048046,           0.0043898,           0.0039021,           0.0072676,           0.0072676,           0.0072676
                 140,            0.048521,           0.0090987,           0.0083339,             0.92165,               0.975,             0.99083,             0.65573,            0.039863,           0.0039262,           0.0039787,           0.0072478,           0.0072478,           0.0072478
                 141,            0.042185,           0.0092597,           0.0060606,             0.88706,               0.975,             0.96537,             0.44446,            0.048753,           0.0043115,           0.0039156,            0.007228,            0.007228,            0.007228
                 142,            0.051636,           0.0084885,           0.0082971,             0.88706,               0.975,             0.96537,             0.44446,            0.048753,           0.0043115,           0.0039156,           0.0072082,           0.0072082,           0.0072082
                 143,            0.045961,            0.008858,           0.0076859,             0.88634,               0.975,             0.99083,              0.5383,            0.042492,            0.003982,           0.0040633,           0.0071884,           0.0071884,           0.0071884
                 144,            0.045344,           0.0086499,           0.0079456,             0.85064,                   1,               0.995,             0.82173,            0.039765,           0.0040324,           0.0042075,           0.0071686,           0.0071686,           0.0071686
                 145,             0.04314,           0.0079098,           0.0066368,             0.85064,                   1,               0.995,             0.82173,            0.039765,           0.0040324,           0.0042075,           0.0071488,           0.0071488,           0.0071488
                 146,            0.041319,           0.0073586,           0.0061018,             0.80653,                   1,               0.995,             0.73674,            0.038312,           0.0039075,           0.0042157,            0.007129,            0.007129,            0.007129
                 147,            0.041472,           0.0083803,           0.0068843,             0.73227,                   1,             0.95512,             0.76327,            0.045164,           0.0040056,           0.0039845,           0.0071092,           0.0071092,           0.0071092
                 148,            0.048226,           0.0093618,           0.0059236,             0.73227,                   1,             0.95512,             0.76327,            0.045164,           0.0040056,           0.0039845,           0.0070894,           0.0070894,           0.0070894
                 149,              0.0442,           0.0084966,           0.0084909,             0.81396,                   1,             0.96838,              0.6632,            0.036398,           0.0036762,           0.0039293,           0.0070696,           0.0070696,           0.0070696
                 150,            0.039259,           0.0092417,           0.0069572,             0.65526,                   1,              0.8952,             0.64194,            0.045586,           0.0040116,           0.0038937,           0.0070498,           0.0070498,           0.0070498
                 151,            0.049037,           0.0083288,           0.0074547,             0.65526,                   1,              0.8952,             0.64194,            0.045586,           0.0040116,           0.0038937,             0.00703,             0.00703,             0.00703
                 152,            0.046551,           0.0089193,           0.0074152,             0.74139,                   1,              0.9044,             0.72642,            0.041458,           0.0037825,           0.0038617,           0.0070102,           0.0070102,           0.0070102
                 153,            0.043448,           0.0081737,            0.006708,             0.97339,                   1,               0.995,             0.76266,            0.041967,           0.0038722,           0.0038129,           0.0069904,           0.0069904,           0.0069904
                 154,            0.046818,           0.0085318,           0.0089537,             0.97339,                   1,               0.995,             0.76266,            0.041967,           0.0038722,           0.0038129,           0.0069706,           0.0069706,           0.0069706
                 155,             0.04317,           0.0084843,           0.0078505,             0.97289,                   1,               0.995,              0.8471,            0.037939,           0.0036928,           0.0037916,           0.0069508,           0.0069508,           0.0069508
                 156,            0.039078,           0.0064799,           0.0060965,             0.96275,                   1,               0.995,             0.76786,            0.042161,           0.0038155,            0.003806,            0.006931,            0.006931,            0.006931
